filename,title,author,year_started,year_finished,genre
10670.txt,Светляки | «Слова — как светляки с большими фонарями...»,Николай Заболоцкий,1949,1949,poetry
10671.txt,Монгольские женщины | «Здесь у повозок выли волки...»,Николай Заболоцкий,1958,1958,poetry
10672.txt,Вечер на Оке | «В очарованье русского пейзажа...»,Николай Заболоцкий,1957,1957,poetry
10673.txt,"Сагурамо | «Я твой родничок, Сагурамо...»",Николай Заболоцкий,1947,1947,poetry
10674.txt,"Бетховен | «В тот самый день, когда твои созвучья...»",Николай Заболоцкий,1946,1946,poetry
10675.txt,Начало зимы | «Зимы холодное и ясное начало...»,Николай Заболоцкий,1935,1935,poetry
10676.txt,Осеннее утро | «Обрываются речи влюбленных...»,Николай Заболоцкий,1955,1955,poetry
10677.txt,"Рыбная лавка | «И вот, забыв людей коварство...»",Николай Заболоцкий,1928,1928,poetry
10678.txt,Противостояние Марса | «Подобно огненному зверю...»,Николай Заболоцкий,1956,1956,poetry
10679.txt,Ночное гулянье | «Расступились на площади зданья...»,Николай Заболоцкий,1953,1953,poetry
10680.txt,"О красоте человеческих лиц | «Есть лица, подобные пышным порталам...»",Николай Заболоцкий,1955,1955,poetry
10681.txt,"Тбилисские ночи | «Отчего, как восточное диво...»",Николай Заболоцкий,1948,1948,poetry
10682.txt,Воспоминание | «Наступили месяцы дремоты.....»,Николай Заболоцкий,1952,1952,poetry
10683.txt,«...В темнице закат золотит решетки...»,Николай Заболоцкий,1918,1919,poetry
10684.txt,«Приближался апрель к середине...»,Николай Заболоцкий,1948,1948,poetry
10685.txt,"Прощание с друзьями | «В широких шляпах, длинных пиджаках...»",Николай Заболоцкий,1952,1952,poetry
10686.txt,"Детство | «Огромные глаза, как у нарядной куклы...»",Николай Заболоцкий,1957,1957,poetry
10687.txt,Прощание | «Прощание! Скорбное слово!..»,Николай Заболоцкий,1934,1934,poetry
10688.txt,Торжество земледелия | «Утро встало. Пар тумана...»,Николай Заболоцкий,1931,1931,poetry
10689.txt,Младенец — мир | «Когда собрание животных...»,Николай Заболоцкий,1931,1931,poetry
10690.txt,"Засуха | «О солнце, раскаленное чрез меру...»",Николай Заболоцкий,1936,1936,poetry
10691.txt,На рейде | «Был поздний вечер. На террасах...»,Николай Заболоцкий,1949,1949,poetry
10692.txt,Песенка о времени | «Легкий ток из чаши А...»,Николай Заболоцкий,1933,1933,poetry
10693.txt,"Пир в доме Бомбеева | «Лесной чертог блистает, как лампада...»",Николай Заболоцкий,1933,1933,poetry
10694.txt,За решеткой | «Пели телеграфные столбы…»,Николай Заболоцкий,1920,1920,poetry
10695.txt,"«...Я гордый лоцман, готовлюсь к отплытию...»",Николай Заболоцкий,1920,1920,poetry
